file,t_mid,status,lag_s,rms_dbar,sharpness,ambiguity,n_overlap
FSB_045,1369460026.5,ok,-13.75,0.3957207338831521,132.9937627712619,27.240064033324437,8523
FSB_046,1369470633.0,ok,-13.75,0.4008254581727999,126.69307413409928,80.05674758436106,10684
FSB_047,1369481512.0,ok,-13.25,0.43422719250843556,118.82726605789682,84.82988602403587,9718
FSB_048,1369492328.5,ok,-13.5,0.40120884673177387,131.02468997215763,92.19077424247483,9927
FSB_049,1369503093.5,ok,-13.25,0.40827389608319065,130.1842248419457,88.53544291583412,9675
FSB_050,1369513794.0,ok,-13.0,0.4196900463376282,128.35823950247962,82.25155111087432,9900
FSB_051,1369524631.0,ok,-13.5,0.3990052307673327,127.78965541198194,87.61720845867372,9082
FSB_052,1369530823.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_053,1369533869.0,ok,-13.75,0.37491507604776103,106.26948666974354,17.704339318708698,2842
FSB_054,1369537490.5,ok,-13.75,0.4014457929620474,124.06991734722772,7.14427593346515,2941
FSB_055,1369540988.5,ok,-13.5,0.3895085961986451,125.6908908464681,6.1896340552802585,2749
FSB_056,1369544495.5,ok,-13.5,0.39071787933297714,126.87816450694527,9.615527950585705,2879
FSB_057,1369548170.5,ok,-13.5,0.3982835278579388,104.45712150135316,23.028006446589128,3117
FSB_058,1369551479.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
FSB_059,1369553637.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
KTA_001,1349307819.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
KTA_002,1349312598.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
KTA_003,1349314351.5,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
KTA_004,1366294135.0,skip: <1800 s in water or no yo,nan,nan,nan,nan,0
