2017-02-19 {'Cd0': 0.17406113865628567, 'Vg': 0.05070217685962862, 'n_samples': 6598}
2017-02-20 {'Cd0': 0.17070658944292655, 'Vg': 0.0506910509591326, 'n_samples': 15156}
2017-02-21 {'Cd0': 0.17105193335509708, 'Vg': 0.05068663403330133, 'n_samples': 14563}
2017-02-22 {'Cd0': 0.17186113257395866, 'Vg': 0.05068862854018948, 'n_samples': 9504}
2017-02-23 {'Cd0': 0.17607450826215057, 'Vg': 0.05068871439727548, 'n_samples': 15012}
2017-02-24 {'Cd0': 0.17898357781921637, 'Vg': 0.05068715939969284, 'n_samples': 15031}
2017-02-25 {'Cd0': 0.17651756440346456, 'Vg': 0.050686508675812404, 'n_samples': 14961}
2017-02-26 {'Cd0': 0.17734936630901832, 'Vg': 0.05068904898168629, 'n_samples': 14938}
2017-02-27 {'Cd0': 0.17774675367615458, 'Vg': 0.050689382804063564, 'n_samples': 14685}
2017-02-28 {'Cd0': 0.18106872806871757, 'Vg': 0.05068911374876416, 'n_samples': 4020}
